Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,200,000",
SURVEY,2022,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,550,000",
SURVEY,2022,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,210,000",
SURVEY,2022,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,250,000",
SURVEY,2022,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,140,000",
SURVEY,2022,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,260,000",
SURVEY,2021,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2021,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2021,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,450,000",
SURVEY,2021,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,250,000",
SURVEY,2021,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,140,000",
SURVEY,2021,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,300,000",
SURVEY,2020,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2020,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,470,000",
SURVEY,2020,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2020,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,280,000",
SURVEY,2020,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,200,000",
SURVEY,2020,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,320,000",
SURVEY,2019,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2019,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2019,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2019,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,310,000",
SURVEY,2019,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,180,000",
SURVEY,2019,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,300,000",
SURVEY,2018,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,200,000",
SURVEY,2018,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,420,000",
SURVEY,2018,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,550,000",
SURVEY,2018,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,270,000",
SURVEY,2018,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,160,000",
SURVEY,2018,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,320,000",
SURVEY,2017,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2017,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,370,000",
SURVEY,2017,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,650,000",
SURVEY,2017,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,320,000",
SURVEY,2017,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,150,000",
SURVEY,2017,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,330,000",
SURVEY,2016,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2016,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,390,000",
SURVEY,2016,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,650,000",
SURVEY,2016,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,310,000",
SURVEY,2016,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,150,000",
SURVEY,2016,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,310,000",
SURVEY,2015,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,100,000",
SURVEY,2015,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,280,000",
SURVEY,2015,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2015,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,300,000",
SURVEY,2015,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,150,000",
SURVEY,2015,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,300,000",
SURVEY,2014,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,250,000",
SURVEY,2014,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,240,000",
SURVEY,2014,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,550,000",
SURVEY,2014,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,280,000",
SURVEY,2014,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,110,000",
SURVEY,2014,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,270,000",
SURVEY,2013,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,300,000",
SURVEY,2013,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,390,000",
SURVEY,2013,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,600,000",
SURVEY,2013,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,280,000",
SURVEY,2013,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,160,000",
SURVEY,2013,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,290,000",
SURVEY,2012,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,400,000",
SURVEY,2012,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,220,000",
SURVEY,2012,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2012,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,320,000",
SURVEY,2012,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,130,000",
SURVEY,2012,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,360,000",
SURVEY,2011,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,250,000",
SURVEY,2011,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,220,000",
SURVEY,2011,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2011,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,340,000",
SURVEY,2011,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,090,000",
SURVEY,2011,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,300,000",
SURVEY,2010,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,250,000",
SURVEY,2010,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,180,000",
SURVEY,2010,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,550,000",
SURVEY,2010,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,250,000",
SURVEY,2010,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,040,000",
SURVEY,2010,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,320,000",